glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,glycan_type,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,Structure_Type
Fuc(a1-3)GlcNAc(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'dHex': 4, 'HexNAc': 7, 'Hex': 3}",Complex_Fuc
Fuc(a1-3)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'dHex': 3, 'HexNAc': 5, 'Hex': 3}",Complex_Fuc
Fuc(a1-3)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'dHex': 5, 'HexNAc': 7, 'Hex': 3}",Complex_Fuc
Fuc(a1-3)[GalNAcOPCho(b1-4)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'dHex': 2, 'HexNAc': 5, 'Hex': 3, 'PCho': 1}",Complex_Fuc
GlcA(?1-?)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'HexNAc': 5, 'Hex': 3, 'dHex': 1}",Complex_Fuc
GlcA(?1-?)GalNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'HexNAc': 6, 'Hex': 3, 'dHex': 1}",Complex_Fuc
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/33583051/'],,N,[],[],[],[],[],[],['secretion_of_lacrimal_gland'],['UBERON:0001827'],['https://pubmed.ncbi.nlm.nih.gov/33583051/'],['Homo_sapiens'],"{'dHex': 2, 'Hex': 4, 'HexNAc': 4}",Complex_Fuc
Neu5Ac(a2-?)Gal(b1-?)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://www.frontiersin.org/articles/10.3389/fchem.2021.637730/full'],,N,['esophageal_cancer'],['DOID:5041'],['saliva'],['up'],['https://www.frontiersin.org/articles/10.3389/fchem.2021.637730/full'],['Homo_sapiens'],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4, 'dHex': 1}",Complex_Fuc
Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://glycostore.org/searchTaxon/MUS%20MUSCULUS'],,N,[],[],[],[],[],[],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 4, 'HexNAc': 4, 'dHex': 1}",Complex_Fuc
GalNAcOPCho(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Trichuris_suis'],['Trichuris'],['Trichuridae'],['Trichocephalida'],['Enoplea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/26650734/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 5, 'Hex': 3, 'dHex': 1, 'PCho': 1}",Complex_Fuc
GlcA(?1-?)[HexOMe(?1-?)]Fuc(a1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Volvarina_rubella'],['Volvarina'],['Marginellidae'],['Neogastropoda'],['Gastropoda'],['Mollusca'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/26598642/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'Hex': 4, 'dHex': 2, 'HexNAc': 4, 'Me': 1}",Complex_Fuc
{Fuc(a1-?)}Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],,N,[''],[''],[''],[''],[''],[''],['brain'],['UBERON:0000955'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],['Mus_musculus'],"{'dHex': 2, 'Hex': 4, 'HexNAc': 4}",Complex_Fuc
{Fuc(a1-?)}GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],,N,[''],[''],[''],[''],[''],[''],['brain'],['UBERON:0000955'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],['Mus_musculus'],"{'dHex': 2, 'Hex': 4, 'HexNAc': 4, 'S': 1}",Complex_Fuc
GalOS(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],,N,[''],[''],[''],[''],[''],[''],['brain'],['UBERON:0000955'],['https://pubmed.ncbi.nlm.nih.gov/38343116/'],['Mus_musculus'],"{'Hex': 4, 'HexNAc': 4, 'dHex': 1, 'S': 1}",Complex_Fuc
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_taurus', 'Camelus_dromedarius', 'Homo_sapiens', 'Mus_musculus', 'Oryctolagus_cuniculus', 'Tetronarce_californica']","['Bos', 'Camelus', 'Homo', 'Mus', 'Oryctolagus', 'Tetronarce']","['Bovidae', 'Camelidae', 'Hominidae', 'Muridae', 'Leporidae', 'Torpedinidae']","['Artiodactyla', 'Artiodactyla', 'Primates', 'Rodentia', 'Lagomorpha', 'Torpediniformes']","['Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Chondrichthyes']","['Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya']","['', 'https://pubmed.ncbi.nlm.nih.gov/27428249/', '', '', 'https://pubmed.ncbi.nlm.nih.gov/4074713/', 'https://pubmed.ncbi.nlm.nih.gov/1633814/']",G44754DF,N,[],[],[],[],[],[],"['NS0_cell_line', 'blood', 'blood_serum', 'blood_serum', 'iPS1A_cell_line', 'iPS2A_cell_line', 'liver', 'ovary', 'urine']","['cellosaurus:CVCL_3940', 'UBERON:0000178', 'UBERON:0001977', 'UBERON:0001977', '', '', 'UBERON:0002107', 'UBERON:0000992', 'UBERON:0001088']","['https://pubmed.ncbi.nlm.nih.gov/36068283/', 'https://www.mdpi.com/2077-0383/10/3/516', 'https://doi.org/10.1023/a:1022528829799', 'https://pubmed.ncbi.nlm.nih.gov/27428249/', 'https://pubmed.ncbi.nlm.nih.gov/23345451/', 'https://pubmed.ncbi.nlm.nih.gov/23345451/', 'https://doi.org/10.1021/bi00464a020', 'https://pubmed.ncbi.nlm.nih.gov/8943402/', 'https://doi.org/10.1021/bi00378a023']","['Mus_musculus', 'Homo_sapiens', 'Homo_sapiens', 'Camelus_dromedarius', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens']","{'Hex': 4, 'HexNAc': 4}",Complex_base
Gal(b1-?)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Callipepla_squamata', 'Colinus_virginianus', 'Coturnix_japonica', 'Gallus_domesticus', 'Oreortyx_pictus']","['Callipepla', 'Colinus', 'Coturnix', 'Gallus', 'Oreortyx']","['Odontophoridae', 'Odontophoridae', 'Phasianidae', 'Phasianidae', 'Odontophoridae']","['Galliformes', 'Galliformes', 'Galliformes', 'Galliformes', 'Galliformes']","['Aves', 'Aves', 'Aves', 'Aves', 'Aves']","['Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/27459092/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/']",,N,[],[],[],[],[],[],"['egg_white', 'egg_white', 'egg_white', 'egg_white', 'serum']","['UBERON_0008944', 'UBERON_0008944', 'UBERON_0008944', 'UBERON_0008944', 'UBERON_0001977']","['https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/30537828/', 'https://pubmed.ncbi.nlm.nih.gov/27459092/']","['Callipepla_squamata', 'Colinus_virginianus', 'Coturnix_japonica', 'Oreortyx_pictus', 'Gallus_domesticus']","{'Hex': 4, 'HexNAc': 4}",Complex_base
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_grunniens', 'Bos_taurus']","['Bos', 'Bos']","['Bovidae', 'Bovidae']","['Artiodactyla', 'Artiodactyla']","['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Animalia', 'Animalia']","['Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/34973737/', 'https://pubmed.ncbi.nlm.nih.gov/34973737/']",,N,[],[],[],[],[],[],"['milk', 'milk']","['UBERON:0001913', 'UBERON:0001913']","['https://pubmed.ncbi.nlm.nih.gov/34973737/', 'https://pubmed.ncbi.nlm.nih.gov/34973737/']","['Bos_grunniens', 'Bos_taurus']","{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4}",Complex_base
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Mus_musculus', 'Mus_musculus']","['Mus', 'Mus']","['Muridae', 'Muridae']","['Rodentia', 'Rodentia']","['Mammalia', 'Mammalia']","['Chordata', 'Chordata']","['Animalia', 'Animalia']","['Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/36068283/', 'https://pubmed.ncbi.nlm.nih.gov/38343116/']",,N,[''],[''],[''],[''],[''],[''],"['NS0_cell_line', 'brain']","['cellosaurus:CVCL_3940', 'UBERON:0000955']","['https://pubmed.ncbi.nlm.nih.gov/36068283/', 'https://pubmed.ncbi.nlm.nih.gov/38343116/']","['Mus_musculus', 'Mus_musculus']","{'Neu5Gc': 1, 'Hex': 4, 'HexNAc': 4}",Complex_base
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Amblyomma_americanum'],['Amblyomma'],['Ixodidae'],['Ixodida'],['Arachnida'],['Arthropoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/31936588/'],G38404PP,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 5, 'HexNAc': 4}",Complex_base
Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Apis_mellifera'],['Apis'],['Apidae'],['Hymenoptera'],['Insecta'],['Arthropoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30104209/'],,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 5}",Complex_base
GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Apis_mellifera'],['Apis'],['Apidae'],['Hymenoptera'],['Insecta'],['Arthropoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30104209/'],G19868AX,N,[],[],[],[],[],[],[],[],[],[],"{'HexNAc': 5, 'Hex': 3}",Complex_base
GlcA(b1-3)Gal(b1-3)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Apis_mellifera'],['Apis'],['Apidae'],['Hymenoptera'],['Insecta'],['Arthropoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30104209/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'Hex': 4, 'HexNAc': 5}",Complex_base
Fuc(a1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Arabidopsis_thaliana'],['Arabidopsis'],['Brassicaceae'],['Brassicales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35421698/'],,N,[],[],[],[],[],[],[],[],[],[],"{'dHex': 1, 'HexNAc': 4, 'Hex': 3}",Complex_base
Gal(b1-3)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Arabidopsis_thaliana'],['Arabidopsis'],['Brassicaceae'],['Brassicales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35421698/'],,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'HexNAc': 4}",Complex_base
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Arabidopsis_thaliana'],['Arabidopsis'],['Brassicaceae'],['Brassicales'],['Dicotyledons'],['Angiosperms'],['Plantae'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/35421698/'],,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 4, 'dHex': 1, 'HexNAc': 4}",Complex_base
GlcA(?1-?)GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Dirofilaria_immitis'],['Dirofilaria'],['Onchocercidae'],['Rhabditida'],['Chromadorea'],['Nematoda'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/30622255/'],,N,[],[],[],[],[],[],[],[],[],[],"{'HexA': 1, 'HexNAc': 5, 'Hex': 3}",Complex_base
Neu5Ac(a2-?)Gal(b1-?)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Gallus_domesticus'],['Gallus'],['Phasianidae'],['Galliformes'],['Aves'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/27459092/'],,N,[],[],[],[],[],[],['serum'],['UBERON_0001977'],['https://pubmed.ncbi.nlm.nih.gov/27459092/'],['Gallus_domesticus'],"{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4}",Complex_base
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://glycostore.org/searchTaxon/HOMO%20SAPIENS'],,N,[],[],[],[],[],[],[],[],[],[],"{'Neu5Ac': 1, 'Hex': 4, 'HexNAc': 4}",Complex_base
Neu5Ac(a2-6)GalNAc(?1-?)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://www.mcponline.org/article/S1535-9476(20)35140-9/fulltext'],,N,[],[],[],[],[],[],['prostate_gland'],['UBERON:0002367'],['https://www.mcponline.org/article/S1535-9476(20)35140-9/fulltext'],['Homo_sapiens'],"{'Neu5Ac': 1, 'HexNAc': 5, 'Hex': 3}",Complex_base
